SEED: 2592577351
BEST: -239.64306640625
t,generation,fitness
4.6752,0,-1399.881851
6.0773,1,-1275.382034
7.8214,2,-1275.382034
9.0053,3,-1275.382034
11.2936,4,-1275.382034
13.0054,5,-1275.382034
14.9735,6,-1275.382034
16.3134,7,-1275.382034
17.8574,8,-1275.382034
18.8000,9,-1275.382034
20.5973,10,-1221.421860
21.7260,11,-1221.421860
23.1656,12,-1221.421860
25.0217,13,-1221.421860
26.2254,14,-1221.421860
28.0458,15,-960.186371
29.7422,16,-960.186371
31.9015,17,-960.186371
32.9737,18,-960.186371
34.7935,19,-960.186371
36.9708,20,-960.186371
38.6575,21,-960.186371
40.9453,22,-819.282700
42.9776,23,-731.122131
45.1618,24,-731.122131
46.7812,25,-731.122131
48.8015,26,-731.122131
50.8533,27,-603.217911
52.8986,28,-603.217911
55.0373,29,-603.217911
57.8894,30,-603.217911
59.6535,31,-603.217911
61.9696,32,-603.217911
64.1535,33,-603.217911
66.0803,34,-603.217911
68.5137,35,-603.217911
70.1696,36,-603.217911
71.8494,37,-603.217911
73.6613,38,-540.023621
76.0652,39,-540.023621
78.1178,40,-540.023621
80.1052,41,-540.023621
81.9539,42,-540.023621
83.9576,43,-540.023621
85.5841,44,-540.023621
86.7966,45,-540.023621
88.5534,46,-540.023621
91.2575,47,-540.023621
92.9895,48,-540.023621
94.9056,49,-540.023621
97.4894,50,-540.023621
99.6140,51,-540.023621
101.3335,52,-540.023621
103.3376,53,-540.023621
105.4934,54,-531.373550
107.2175,55,-531.373550
109.1813,56,-531.373550
111.1056,57,-531.373550
113.2572,58,-531.373550
115.6375,59,-531.373550
117.7576,60,-531.373550
119.8464,61,-531.373550
121.6353,62,-407.136780
124.1014,63,-407.136780
126.2854,64,-407.136780
128.2416,65,-407.136780
130.6735,66,-407.136780
132.6977,67,-407.136780
135.1336,68,-407.136780
137.5613,69,-407.136780
139.2138,70,-407.136780
141.0742,71,-407.136780
142.8857,72,-407.136780
145.9934,73,-407.136780
147.8218,74,-407.136780
151.0486,75,-407.136780
152.7336,76,-407.136780
154.6695,77,-407.136780
157.2136,78,-407.136780
159.2458,79,-407.136780
161.1493,80,-407.136780
162.8775,81,-407.136780
165.7977,82,-407.136780
167.4584,83,-407.136780
170.2212,84,-407.136780
173.1455,85,-407.136780
176.5894,86,-407.136780
179.2014,87,-407.136780
181.7418,88,-407.136780
184.6175,89,-407.136780
186.3181,90,-407.136780
189.0421,91,-407.136780
191.2017,92,-407.136780
194.9293,93,-407.136780
197.4095,94,-407.136780
199.3898,95,-407.136780
201.3615,96,-407.136780
203.9293,97,-407.136780
206.0056,98,-407.136780
207.9253,99,-407.136780
210.0454,100,-407.136780
211.7213,101,-407.136780
213.4580,102,-399.520065
215.7335,103,-399.520065
217.5431,104,-399.520065
220.1932,105,-399.520065
222.4982,106,-399.520065
224.3854,107,-399.520065
227.2214,108,-399.520065
228.9416,109,-399.520065
230.9816,110,-399.520065
232.6985,111,-399.520065
235.6373,112,-399.520065
237.5176,113,-399.520065
239.3936,114,-399.520065
241.2857,115,-399.520065
244.8615,116,-399.520065
247.2208,117,-399.520065
248.6532,118,-399.520065
250.5868,119,-373.161041
252.5783,120,-373.161041
254.3173,121,-373.161041
256.2174,122,-373.161041
258.7895,123,-373.161041
260.7214,124,-373.161041
262.8052,125,-373.161041
264.3897,126,-373.161041
266.1455,127,-373.161041
268.0252,128,-373.161041
269.7217,129,-373.161041
271.8334,130,-373.161041
273.7503,131,-366.523605
275.3477,132,-366.523605
277.5693,133,-366.523605
279.7414,134,-366.523605
281.5973,135,-361.965515
283.8057,136,-361.965515
285.9578,137,-361.965515
287.6214,138,-361.965515
290.4733,139,-361.965515
292.1861,140,-361.965515
295.5717,141,-361.965515
297.5018,142,-361.965515
299.4777,143,-361.965515
302.2537,144,-361.965515
303.7988,145,-361.965515
305.9297,146,-361.965515
307.8226,147,-361.965515
310.4096,148,-361.965515
312.1573,149,-361.965515
314.4733,150,-361.965515
316.6895,151,-361.965515
318.0194,152,-361.965515
318.7016,153,-361.965515
321.7406,154,-361.965515
324.0174,155,-361.965515
325.8895,156,-361.567963
328.0934,157,-361.567963
331.4734,158,-361.567963
333.0613,159,-361.567963
335.8692,160,-361.567963
337.5456,161,-361.567963
340.2452,162,-361.567963
342.2609,163,-361.567963
345.0694,164,-361.567963
347.3896,165,-359.214340
349.5859,166,-359.214340
352.4975,167,-359.214340
355.1133,168,-359.214340
357.8013,169,-359.214340
360.4018,170,-359.214340
363.1032,171,-359.214340
365.0374,172,-359.214340
367.5937,173,-359.214340
369.0092,174,-359.214340
371.3416,175,-329.801086
373.1693,176,-329.801086
375.8693,177,-329.801086
