SEED: 2324640075
BEST: -566.0713806152344
t,generation,fitness
1.0168240070343018,0,-1436.893051147461
1.219588279724121,1,-1436.893051147461
1.5271873474121094,2,-1436.893051147461
1.8812427520751953,3,-1436.893051147461
2.2444732189178467,4,-1436.893051147461
2.6617743968963623,5,-1436.893051147461
3.009943962097168,6,-1436.893051147461
3.3692030906677246,7,-1436.893051147461
4.057174444198608,8,-1436.893051147461
4.417036294937134,9,-1436.893051147461
4.818221807479858,10,-1436.893051147461
5.083486557006836,11,-1436.893051147461
5.392789602279663,12,-1436.893051147461
5.764899253845215,13,-1391.843505859375
6.078708648681641,14,-1391.843505859375
6.386240482330322,15,-1345.519546508789
6.688231945037842,16,-1345.519546508789
7.008085250854492,17,-1345.519546508789
7.3855836391448975,18,-1345.519546508789
7.768907070159912,19,-1234.2866973876953
8.084961891174316,20,-1234.2866973876953
8.42236328125,21,-1234.2866973876953
8.761891841888428,22,-1234.2866973876953
9.14203691482544,23,-1234.2866973876953
9.506209135055542,24,-1234.2866973876953
9.873666524887085,25,-1234.2866973876953
10.209047794342041,26,-1234.2866973876953
10.605803728103638,27,-1153.4738159179688
10.966576099395752,28,-1153.4738159179688
11.292868614196777,29,-1153.4738159179688
11.577387571334839,30,-1153.4738159179688
11.917582273483276,31,-1153.4738159179688
12.252636432647705,32,-1153.4738159179688
12.549386501312256,33,-1153.4738159179688
12.973494529724121,34,-1153.4738159179688
13.341675758361816,35,-1153.4738159179688
13.679147720336914,36,-1128.4407043457031
14.027069091796875,37,-1128.4407043457031
14.342439889907837,38,-1128.4407043457031
14.445464611053467,39,-1128.4407043457031
14.711266994476318,40,-1128.4407043457031
15.020131349563599,41,-1128.4407043457031
15.325539350509644,42,-1128.4407043457031
15.679317474365234,43,-1128.4407043457031
16.011842250823975,44,-1128.4407043457031
16.29469323158264,45,-1128.4407043457031
16.675498247146606,46,-1128.4407043457031
17.198448181152344,47,-1128.4407043457031
17.510152578353882,48,-1128.4407043457031
17.85947346687317,49,-1128.4407043457031
18.103185415267944,50,-1128.4407043457031
18.509353160858154,51,-1128.4407043457031
18.89179301261902,52,-1128.4407043457031
19.219470500946045,53,-1128.4407043457031
19.507933855056763,54,-1128.4407043457031
19.82463240623474,55,-1127.9115600585938
20.1097252368927,56,-1127.9115600585938
20.4734525680542,57,-1069.189453125
21.04742670059204,58,-1069.189453125
21.372708320617676,59,-1069.189453125
21.71360182762146,60,-1069.189453125
22.097534894943237,61,-1069.189453125
22.17252278327942,62,-1069.189453125
22.53764843940735,63,-1069.189453125
22.97738480567932,64,-1069.189453125
23.359905242919922,65,-1069.189453125
23.435011386871338,66,-1069.189453125
23.806360006332397,67,-1069.189453125
23.86220908164978,68,-1069.189453125
24.25651264190674,69,-1069.189453125
24.576603889465332,70,-1069.189453125
24.944740772247314,71,-1069.189453125
25.266555309295654,72,-1069.189453125
25.67366051673889,73,-1069.189453125
26.041385412216187,74,-1069.189453125
26.42142629623413,75,-1069.189453125
26.75331974029541,76,-1069.189453125
27.003828287124634,77,-1069.189453125
27.40358805656433,78,-1069.189453125
27.72961688041687,79,-1069.189453125
28.053414344787598,80,-1069.189453125
28.403302669525146,81,-1069.189453125
28.76277804374695,82,-1069.189453125
29.1251163482666,83,-1069.189453125
29.48323941230774,84,-1069.189453125
29.85740375518799,85,-1069.189453125
30.171271800994873,86,-1069.189453125
30.41332459449768,87,-1069.189453125
30.953446865081787,88,-1069.189453125
31.265083074569702,89,-1069.189453125
31.53272581100464,90,-1069.189453125
31.886539459228516,91,-1069.189453125
32.20951461791992,92,-1069.189453125
32.52965426445007,93,-1069.189453125
32.72169852256775,94,-1069.189453125
33.110456705093384,95,-1069.189453125
33.43395280838013,96,-1069.189453125
33.74563717842102,97,-1069.189453125
34.096625328063965,98,-1069.189453125
34.50627589225769,99,-1069.189453125
34.870582818984985,100,-1069.189453125
35.26252579689026,101,-1069.189453125
35.6309871673584,102,-1069.189453125
35.91842555999756,103,-1069.189453125
36.23283553123474,104,-1069.189453125
36.59607744216919,105,-977.8057861328125
36.829551219940186,106,-977.8057861328125
37.15813398361206,107,-977.8057861328125
37.505348443984985,108,-977.8057861328125
37.875280141830444,109,-977.8057861328125
38.16529369354248,110,-977.8057861328125
38.57748556137085,111,-977.8057861328125
38.99673771858215,112,-977.8057861328125
39.29431104660034,113,-977.8057861328125
39.67827081680298,114,-977.8057861328125
40.063454389572144,115,-977.8057861328125
40.40525460243225,116,-977.8057861328125
40.65743350982666,117,-977.8057861328125
41.139564037323,118,-977.8057861328125
41.53003001213074,119,-977.8057861328125
41.85469150543213,120,-977.8057861328125
42.25856399536133,121,-977.8057861328125
42.717889070510864,122,-977.8057861328125
43.21725106239319,123,-977.8057861328125
43.53800058364868,124,-977.8057861328125
44.030954360961914,125,-977.8057861328125
44.40052580833435,126,-977.8057861328125
44.76349234580994,127,-977.8057861328125
