SEED: 298265757
BEST: -306.5254364013672
t,generation,fitness
3.3173,0,-1540.631073
3.9358,1,-1540.631073
5.0890,2,-1540.631073
5.9411,3,-1523.767487
6.7171,4,-1523.767487
7.2368,5,-1523.767487
8.1852,6,-1523.767487
8.9330,7,-1523.767487
9.7130,8,-1523.767487
10.4863,9,-1522.751953
11.3631,10,-1522.751953
11.7987,11,-1522.751953
12.2211,12,-1522.751953
13.6786,13,-1502.306656
14.5307,14,-1379.358475
15.2771,15,-1379.358475
16.8853,16,-1254.172562
17.5214,17,-1254.172562
18.3752,18,-1254.172562
20.0303,19,-1254.172562
22.1608,20,-1254.172562
22.8250,21,-1249.847000
24.7137,22,-1249.847000
25.7762,23,-1249.847000
26.6365,24,-1008.383530
27.7147,25,-1008.383530
29.5049,26,-1008.383530
31.2211,27,-1008.383530
31.6553,28,-1005.220398
33.1214,29,-986.664749
34.7146,30,-986.664749
35.7850,31,-986.664749
36.8847,32,-986.664749
37.8933,33,-986.664749
38.8331,34,-805.177246
39.5553,35,-805.177246
41.0383,36,-805.177246
41.8810,37,-805.177246
44.5145,38,-805.177246
46.0298,39,-805.177246
48.0090,40,-805.177246
49.4739,41,-805.177246
50.7185,42,-805.177246
51.9762,43,-805.177246
53.2292,44,-805.177246
54.0253,45,-805.177246
54.8515,46,-805.177246
55.9127,47,-805.177246
57.5730,48,-805.177246
58.3451,49,-805.177246
59.7973,50,-805.177246
62.0761,51,-805.177246
63.4594,52,-805.177246
65.0577,53,-805.177246
66.0091,54,-805.177246
67.3652,55,-805.177246
68.1738,56,-803.642929
69.4052,57,-803.642929
70.3451,58,-803.642929
71.2496,59,-803.642929
72.5860,60,-769.714386
73.8933,61,-769.714386
74.7552,62,-769.714386
76.6891,63,-769.714386
78.4942,64,-769.714386
79.8018,65,-769.714386
80.9253,66,-769.714386
82.6753,67,-769.714386
85.2493,68,-769.714386
87.2251,69,-769.714386
88.9252,70,-769.714386
90.3981,71,-769.714386
92.4254,72,-354.526596
93.1458,73,-354.526596
95.4698,74,-354.526596
96.2331,75,-354.526596
99.0252,76,-354.526596
100.7732,77,-354.526596
101.8551,78,-354.526596
102.6011,79,-347.775391
103.7534,80,-347.775391
105.1133,81,-347.775391
106.6877,82,-347.775391
107.7569,83,-347.775391
109.1250,84,-347.775391
109.9632,85,-347.775391
111.6736,86,-347.775391
112.6006,87,-347.775391
113.6411,88,-347.775391
115.7306,89,-347.775391
117.2811,90,-347.775391
118.3288,91,-347.775391
120.3025,92,-347.775391
121.3771,93,-347.775391
123.3499,94,-347.775391
124.4703,95,-347.775391
125.6213,96,-347.775391
127.3092,97,-338.757385
128.2122,98,-338.757385
128.9703,99,-338.757385
130.6251,100,-338.757385
131.5409,101,-338.757385
133.1848,102,-338.757385
134.3441,103,-338.757385
135.6532,104,-338.757385
136.8672,105,-338.757385
137.7670,106,-338.757385
140.2452,107,-338.757385
141.7609,108,-338.757385
143.1999,109,-338.757385
144.6372,110,-338.757385
145.5180,111,-338.757385
147.3781,112,-338.757385
149.0530,113,-338.757385
150.1614,114,-333.965851
150.9894,115,-333.965851
153.2530,116,-333.965851
155.5571,117,-333.965851
157.2131,118,-333.965851
159.5172,119,-333.965851
160.2905,120,-333.965851
161.6236,121,-333.965851
162.7970,122,-333.965851
164.3912,123,-333.965851
165.5095,124,-333.965851
167.2694,125,-333.965851
169.0652,126,-333.965851
170.4151,127,-333.965851
171.4211,128,-333.965851
172.6412,129,-333.965851
173.5985,130,-333.965851
174.6868,131,-333.965851
175.9301,132,-333.965851
176.9171,133,-333.965851
178.5131,134,-333.965851
179.9661,135,-333.965851
183.0671,136,-333.965851
184.3161,137,-333.965851
185.2336,138,-333.965851
185.8835,139,-333.965851
187.1601,140,-333.965851
188.0454,141,-333.965851
189.5653,142,-333.965851
190.5293,143,-333.965851
192.6176,144,-333.965851
193.5319,145,-333.965851
195.0449,146,-333.965851
196.3335,147,-333.965851
197.0772,148,-333.965851
198.4087,149,-333.965851
200.2130,150,-333.965851
202.2475,151,-333.965851
